Trade,Cumulative PnL INR,Peak,Drawdown,Drawdown %
1093,571551,580561.5,-9010.5,-1.552031955
1094,568186.5,580561.5,-12375,-2.131557122
1095,558574.5,580561.5,-21987,-3.787195672
1096,551493,580561.5,-29068.5,-5.006963087
1097,543595.5,580561.5,-36966,-6.367284086
1098,538698,580561.5,-41863.5,-7.210863965
1099,523165.5,580561.5,-57396,-9.886291116
1100,522735,580561.5,-57826.5,-9.960443467
1101,518268,580561.5,-62293.5,-10.729871
1102,515311.5,580561.5,-65250,-11.23911937
1103,507331.5,580561.5,-73230,-12.61365075
1104,508386,580561.5,-72175.5,-12.43201625
1105,500169,580561.5,-80392.5,-13.84737018
1106,493273.5,580561.5,-87288,-15.03509964
1107,503332.5,580561.5,-77229,-13.30246666
1108,504054,580561.5,-76507.5,-13.17819042
1109,512161.5,580561.5,-68400,-11.78169755
1110,512659.5,580561.5,-67902,-11.69591852
1111,509913,580561.5,-70648.5,-12.16899502
1112,502537.5,580561.5,-78024,-13.43940306
1113,510507,580561.5,-70054.5,-12.06668027
1114,518206.5,580561.5,-62355,-10.74046419
1115,520624.5,580561.5,-59937,-10.32397085
1116,548445,580561.5,-32116.5,-5.531972065
1117,546988.5,580561.5,-33573,-5.782849879
1118,544684.5,580561.5,-35877,-6.179707059
1119,542536.5,580561.5,-38025,-6.549693702
1120,541815,580561.5,-38746.5,-6.673969941
1121,547294.5,580561.5,-33267,-5.730142285
1122,557329.5,580561.5,-23232,-4.001643237
1123,553677,580561.5,-26884.5,-4.630775551
1124,558103.5,580561.5,-22458,-3.868324028
1125,553570.5,580561.5,-26991,-4.649119861
1126,552211.5,580561.5,-28350,-4.883203588
1127,554148,580561.5,-26413.5,-4.549647195
1128,554013,580561.5,-26548.5,-4.572900545
1129,555888,580561.5,-24673.5,-4.249937345
1130,560917.5,580561.5,-19644,-3.383620857
1131,557415,580561.5,-23146.5,-3.986916115
1132,559123.5,580561.5,-21438,-3.692632047
1133,555562.5,580561.5,-24999,-4.306003757
1134,562071,580561.5,-18490.5,-3.184933896
1135,557160,580561.5,-23401.5,-4.03083911
1136,552399,580561.5,-28162.5,-4.850907268
1137,567307.5,580561.5,-13254,-2.28296227
1138,563835,580561.5,-16726.5,-2.881090117
1139,560787,580561.5,-19774.5,-3.406099095
1140,562096.5,580561.5,-18465,-3.180541596
1141,556515,580561.5,-24046.5,-4.141938451
1142,548308.5,580561.5,-32253,-5.555483786
1143,556692,580561.5,-23869.5,-4.111450725
1144,581991,581991,0,0
1145,576765,581991,-5226,-0.89795203
1146,574935,581991,-7056,-1.212389882
1147,571866,581991,-10125,-1.739717624
1148,567586.5,581991,-14404.5,-2.475038274
1149,565701,581991,-16290,-2.799012356
1150,572965.5,581991,-9025.5,-1.550797177
1151,571153.5,581991,-10837.5,-1.862142198
1152,568209,581991,-13782,-2.368077857
